id	filename	md5	size	state
46218c3d-5a37-4b18-b2cc-48ad7a809e73	88306ab3-264f-4e3f-8073-4d606b084ed2.htseq.counts.gz	9fe4fd92181662afe3ad6b4a7e703fc9	250889	validated
4c6d8f98-fb7e-4fba-99d2-3b47bae7d0c7	3897dd46-34cb-4907-b8fa-3174cc1d2b40.htseq.counts.gz	1b54509e63637537ad7a2506c2f9bec4	245006	validated
535fd9f1-90b8-4a56-b073-028e78a50440	443181bc-6248-4f42-bf52-5557c9788d51.htseq.counts.gz	aeff5ed2ca74f5ac29d7c483f385583e	251508	validated
6599630c-662c-4837-9e7c-1e31b64c709a	cfd06ff6-87b9-4ad3-8ebf-3bb6299449a5.htseq.counts.gz	cac67eb4326072e2c7291eefc918342e	252973	validated
661829b5-a067-467f-aa58-518c8f91bad9	61e5178d-86bc-4229-8a41-61401f71f64b.htseq.counts.gz	99899be1fb133127f09e864fc2a609cc	254683	validated
673c1e2d-0c69-4d2f-95bc-86a3b34134c2	b0af0420-90ea-4eb9-b224-514a59296b14.htseq.counts.gz	5473828e9ddbd00787f8f34a24368df2	248925	validated
6daad7b9-a9ce-4686-8c74-765c9d62db67	5ef7ffcb-1938-449a-a082-2b2b04adbafe.htseq.counts.gz	c40e5e0974ca0fd83602d49d0c78bf9b	255704	validated
79fa6e88-27b6-4fc3-8575-1dd2e41931dd	08d405ce-f557-424b-bef3-7acd7aeb1f51.htseq.counts.gz	54c423a914ea001ed39b6eaa1160bb47	253215	validated
7acf2f49-0f41-4536-ae6f-1e7786bb2a2c	40613946-9ae9-4893-bbc8-170a2a09ccda.htseq.counts.gz	9d2d21c687ac4e6dd61aee351a80fb25	252652	validated
81ab86c9-90d8-45e8-a5ea-ee7266d7fbdc	282d5085-1fdd-4040-af5d-35ac644e5235.htseq.counts.gz	8afb7ffcb3542bcbcfbdbb2466c9ea78	256321	validated
88613bbd-8a1a-47c9-aaa3-05d6eec9d64f	4f317009-8ba2-40aa-b795-9f4a91ceb982.htseq.counts.gz	578ec734322ba1821de2f5dc59a16322	248357	validated
8a8c6c6c-971a-4045-b04d-9325195a1598	7a3c64e7-98bc-4cbf-8a2a-0c3314d46ad2.htseq.counts.gz	b1d57c952c991f2c32530182f9249c10	256454	validated
8b156ccc-912e-439e-b385-bc3de875051a	8546cb8a-fa49-47a4-9881-5b001572ef8d.htseq.counts.gz	99ee6366df8796591c6d7d31e99afe56	257525	validated
8e994ca2-33c6-4ff3-9028-caaee46b93c9	e9cf91c3-db89-4855-9d40-d66f9fb49225.htseq.counts.gz	4768b51c8d570caf4605ab89988040ba	249971	validated
9aaed96d-bb86-43da-a1a2-29c6332e8104	bdc6620a-b937-45ba-b7c6-7939c6cda0e0.htseq.counts.gz	9a6610f015910602897cbab4c8a2c718	248275	validated
9f8ffa3d-846f-455b-859b-8da9bb426538	72c70900-f879-4519-8bc4-23483122c2e5.htseq.counts.gz	1e6e3ca189ca03c34a498a157ce03b2b	247920	validated
a33d0318-a572-440a-8937-31a725085826	a8ec4173-263a-4cb7-bf85-ae68a1151eeb.htseq.counts.gz	e94d8d120a7a890b8623a9687c705588	254619	validated
a8813427-dfd6-416a-8a06-ffcad7cd4e16	ee6aaabb-4aa2-4578-bc14-27d311837005.htseq.counts.gz	25976a883db979b76151a241d85c35ae	254293	validated
a95158ae-4982-48d4-9862-6a921ff080a4	c9b7c74e-b910-4dfb-8f71-5f3eeee5ff77.htseq.counts.gz	df85c85352990062197b84627bd98236	252291	validated
ad01bd85-e843-4569-b28d-de19a16cf7a9	643a2bf7-bfb7-4057-9e98-0c5fb479d052.htseq.counts.gz	38fa28b9261d50a346fad24778d6c1d3	248489	validated
af8abcc4-729a-4b4c-a64a-69194e1ec2ae	f887d61a-bb90-4bfe-aa1f-1ff933fedcf0.htseq.counts.gz	a6001c6fda3804bdd0d91e221c660831	258022	validated
b3af0131-de1d-4797-a9bb-61449bc2b866	7c01e365-30b2-4020-a7e7-17dad20035c0.htseq.counts.gz	12d59d667e938ddcf3e254eb6d9a5c44	250098	validated
b6a0c9ec-3294-4a27-84ca-b59183c3a737	66f56582-eab0-4192-9c2a-0029c343b815.htseq.counts.gz	1807976f04a528bfdf3e3d092bdf8717	251975	validated
